TOKEN		OUTPUT			CORRECT
andrum			andrum (0)			annar
malum			malum (0)			mal
ælla			ælla (0)			älla
andrum			andrum (0)			annar
fallum			fallum (0)			fall
þa			þiggia (0.5)			þa
hialpær			hialpær (0)			hiälpa
firi			firi (0)			for
fea bot			fea bot (0)			fäar bot
gær			gær (0)			göra
þuæra uarknaþ			þuæra uarknaþ (0)			þvära värknaþer
a			af (0.666667)			a
dagh			dag (1)			dagher
forhælgþ			forhælgþ (0)			forhälghþ
ær			ær (0)			vara
firi			firi (0)			for
þa			þiggia (0.5)			þa
ær			ær (0)			vara
sakær			sakær (0)			saker
at			ägha (0.5)			at
þrim			þrim (0)			þrir
markum			markum (0)			mark
gær			gær (0)			göra
a			af (0.666667)			a
ykil dagh			ykil dagh (0)			ykildagher
sakær			sakær (0)			saker
at			ägha (0.5)			at
maþær			maþær (0)			maþer
at			ägha (0.5)			at
osiþum			osiþum (0)			osiþer
þa			þiggia (0.5)			þa
præste			præste (0)			präster
sighia			sea (1)			sighia
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
præstær			præstær (0)			präster
sunnudagh			sunnudagh (0)			sunnodagher
kirkiu durum			kirkiu durum (0)			kirkio dyr
ok			uk (1)			ok
sua			sua (0)			sva
annan			annan (0)			annar
ok			uk (1)			ok
sua			sua (0)			sva
ok			uk (1)			ok
sua			sua (0)			sva
sighia			sea (1)			sighia
þylikt			þylikt (0)			þyliker
mal			mala (1)			mal
ær			ær (0)			vara
minne			minne (0)			min
biþær			biþær (0)			biþia
hitte			hitte (0)			hitta
ok			uk (1)			ok
rætte			rætte (0)			rätta+sik
sik			sighia (0.5)			sik
uiþ			uiþ (0)			viþ
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
præstær			præstær (0)			präster
hem			hember (1)			hem
ok			uk (1)			ok
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
ok			uk (1)			ok
sua			sua (0)			sva
sighia			sea (1)			sighia
hauær			hauær (0)			hava
þik			þik (0)			þu
kallat			kallat (0)			kalla
uill			uill (0)			vilia
h			h (0)			han
egh			äg (0.666667)			eigh
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
præstær			præstær (0)			präster
kirkiu fæ			kirkiu fæ (0)			kirkio fä
ok			uk (1)			ok
hem			hember (1)			hem
ok			uk (1)			ok
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
dull			dull (0)			dylia
þa			þiggia (0.5)			þa
eþ			eþ (0)			eþer
præsti			præsti (0)			präster
fæsta			fæsta (0)			fästa
ok			uk (1)			ok
kirkiu			kirkiu (0)			kirkia
fæ			fæ (0)			fä
sokninne			sokninne (0)			sokn
at			ägha (0.5)			at
ær			ær (0)			vara
egh			äg (0.666667)			eigh
sandær			sandær (0)			sander
at			ägha (0.5)			at
þerre			þerre (0)			þän
gærþ			gærþ (0)			gärþ
gitær			gitær (0)			gita
eþ			eþ (0)			eþer
falzs			falzs (0)			falla
at			ägha (0.5)			at
eþe			eþe (0)			eþer
ok			uk (1)			ok
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
ok			uk (1)			ok
egh			äg (0.666667)			eigh
fa			far (1)			fä
biuþær			biuþær (0)			biuþa
egh			äg (0.666667)			eigh
ræt			ræt (0)			rätter
firi			firi (0)			for
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
fæmt			fæmt (0)			fämt
leggia			leggia (0)			läggia
þa			þiggia (0.5)			þa
sæghia			sæghia (0)			sighia
þa			þiggia (0.5)			þa
lagh			liggia (1)			lagh
firi			firi (0)			for
sik			sighia (0.5)			sik
giua			giua (0)			giva
soknari			soknari (0)			soknare
bristær			bristær (0)			brista
at			ägha (0.5)			at
eþe			eþe (0)			eþer
þa			þiggia (0.5)			þa
baþe			baþir (1)			baþe
ok			uk (1)			ok
fæ			fæ (0)			fä
gangær			gangær (0)			ganga
iula friþær			iula friþær (0)			iula friþer
a			af (0.666667)			a
iula aptne			iula aptne (0)			iula aptan
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
ok			uk (1)			ok
ær			ær (0)			vara
þær til			þær til (0)			þär til
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
a			af (0.666667)			a
attunda			attunda (0)			attunde
dagh			dag (1)			dagher
æptær			æptær (0)			äptir
tolfta			tolfta (0)			tolfte
dagh			dag (1)			dagher
gangær			gangær (0)			ganga
paska friþær			paska friþær (0)			paska friþer
a			af (0.666667)			a
oþinsdaghinum			oþinsdaghinum (0)			oþinsdager
dymbiluiku			dymbiluiku (0)			dymbilvika
þa			þiggia (0.5)			þa
bindas			bindas (0)			binda
kokku			kokku (0)			klokka
ok			uk (1)			ok
ær			ær (0)			vara
þær til			þær til (0)			þär til
aptunsangær			aptunsangær (0)			aptansanger
æ			æ (0)			vara
sungin			sungin (0)			vara
a			af (0.666667)			a
attunda			attunda (0)			attunde
dagh			dag (1)			dagher
æfte			æfte (0)			äptir
första			forestanda (1)			fyrster
dagh			dag (1)			dagher
gangær			gangær (0)			ganga
pingz dagha hælghþ			pingz dagha hælghþ (0)			pingizdagha hälghþ
a			af (0.666667)			a
aptinum			aptinum (0)			aptan
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
ok			uk (1)			ok
ær			ær (0)			vara
þær til			þær til (0)			þär til
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
a			af (0.666667)			a
attunda			attunda (0)			attunde
daghinum			daghinum (0)			dagher
ær			ær (0)			vara
kirkmæssu hælgþ			kirkmæssu hælgþ (0)			kirkmässo hälghþ
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
a			af (0.666667)			a
aptninum			aptninum (0)			aptan
ok			uk (1)			ok
ær			ær (0)			vara
þær til			þær til (0)			þär til
aptunsangær			aptunsangær (0)			aptansanger
ær			ær (0)			vara
sungin			sungin (0)			siunga
a			af (0.666667)			a
daghinum			daghinum (0)			dagher
bærs			bærs (0)			bäria
þæsse			þæsse (0)			þänne
hælghþ			hælghþ (0)			hälghþ
ær			ær (0)			vara
sakær			sakær (0)			saker
wiþær			wiþær (0)			viþ
biskup			biskup (0)			biskoper
at			ägha (0.5)			at
þrim			þrim (0)			þrir
markum			markum (0)			mark
ælla			ælla (0)			älla
dyli			dyli (0)			dylia
mæþ			mæþ (0)			mäþ
eþi			eþi (0)			eþer
skærdax hælghþ			skærdax hælghþ (0)			skärdaghs hälghþ
ok			uk (1)			ok
pætars mæssu			pætars mæssu (0)			pätars mässa
liongköpunghe			liongköpunghe (0)			Lionköpungher*
ok			uk (1)			ok
olafs mæssu			olafs mæssu (0)			olafs mässa
skæninghe			skæninghe (0)			Skäninghe*
ok			uk (1)			ok
lafrinz mæssu			lafrinz mæssu (0)			laurenz mässa
suþurköpunge			suþurköpunge (0)			Suþurköpunger*
þa			þiggia (0.5)			þa
huggær			huggær (0)			hugga
ælla			ælla (0)			älla
dræpær			dræpær (0)			dräpa
nakuarn			nakuarn (0)			nokor
frarande			frarande (0)			fran fara
ælla			ælla (0)			älla
farande			farande (0)			fara
ælla			ælla (0)			älla
varande			varande (0)			vara
ökir			ökir (0)			öka
sak			saker (1)			sak
at			ägha (0.5)			at
markum			markum (0)			mark
þær			þær (0)			þär
makær			makær (0)			mark
hawa			hawa (0)			hava
kunungær			kunungær (0)			konunger
af			af (0)			þär af
ok			uk (1)			ok
markær			markær (0)			mark
biskupær			biskupær (0)			biskoper
giuær			giuær (0)			giva
mæþr			mæþr (0)			maþer
klöstær			klöstær (0)			kloster
ælla			ælla (0)			älla
kirkiu			kirkiu (0)			kirkia
osiukær			osiukær (0)			osiuker
þa			þiggia (0.5)			þa
helan			helan (0)			hel
huwþ lut			huwþ lut (0)			hovuþluter
giua			giua (0)			giva
ok			uk (1)			ok
haluæn			haluæn (0)			halver
æn			æn (0)			än
hæluanum			hæluanum (0)			hälvan
liggær			liggær (0)			liggia
hæfþa			hæfþa (0)			häfþ
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
witzorþ			witzorþ (0)			vitsorþ
uita			uita (0)			vita
huat			huat (0)			hvar
ok			uk (1)			ok
uita			uita (0)			vita
huat			huat (0)			hvar
hafþe			hafþe (0)			hava
atær			atær (0)			ater
þæt			þæt (0)			þän
ær			ær (0)			vara
en			än (0.666667)			en
huwþ lutær			huwþ lutær (0)			hovuþluter
sua			sua (0)			sva
manga			manga (0)			manger
arftaka			arftaka (0)			arftaki
hauær			hauær (0)			hava
þa			þiggia (0.5)			þa
giua			giua (0)			giva
slikan			slikan (0)			sliker
lut			ludher (0.5)			luter
en			än (0.666667)			en
þerra			þerra (0)			þän
takær			takær (0)			taka
antuiggia			antuiggia (0)			annattväggia
at			ägha (0.5)			at
ællas			ællas (0)			ällas
ok			uk (1)			ok
at			ägha (0.5)			at
þætta			þætta (0)			þänne
ok			uk (1)			ok
egh			äg (0.666667)			eigh
mera			mär (1)			mere
æn			æn (0)			än
klöstær			klöstær (0)			klöster
hauær			hauær (0)			hava
laghhæfþat			laghhæfþat (0)			laghhäfþa
þa			þiggia (0.5)			þa
wæri			wæri (0)			väria
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
bærias			bærias (0)			bäria
mæn			mæn (0)			maþer
kirkiu garþe			kirkiu garþe (0)			kirkio garþer
þa			þiggia (0.5)			þa
ær			ær (0)			vara
kirkiu garþær			kirkiu garþær (0)			kirkio garþer
ouighþær			ouighþær (0)			ovigþer
þa			þiggia (0.5)			þa
sokna mannum			sokna mannum (0)			soknar man
þrea			þrea (0)			þrir
markær			markær (0)			mark
firi			firi (0)			for
mæssu fall			mæssu fall (0)			mässu fal
þer			þär (0.75)			þän
fa			far (1)			fa
ok			uk (1)			ok
atær			atær (0)			ater
kirkiu garþin			kirkiu garþin (0)			kirkio garþer
dæpas			dæpas (0)			dräpa
mæn			mæn (0)			maþer
ælla			ælla (0)			älla
gærs			gærs (0)			göra
kirkiu			kirkiu (0)			kirkia
þa			þiggia (0.5)			þa
ær			ær (0)			vara
wixl			wixl (0)			vighsl
kirkiu			kirkiu (0)			kirkia
þæn			þæn (0)			þän
uixla spiællum			uixla spiællum (0)			vighsla spiäl
ualdær			ualdær (0)			valda
krkiu			krkiu (0)			kirkia
uighia			uighia (0)			vighia
warþær			warþær (0)			varþa
firi			firi (0)			for
biskupe			biskupe (0)			biskoper
þa			þiggia (0.5)			þa
biskupær			biskupær (0)			biskoper
fæmtir			fæmtir (0)			fämt
læggia			læggia (0)			läggia
egh			äg (0.666667)			eigh
rætta			rætta (0)			rätta
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
biskupær			biskupær (0)			biskoper
sætia			sætia (0)			sätia
firi			firi (0)			for
ok			uk (1)			ok
egh			äg (0.666667)			eigh
firi			firi (0)			for
fea giald			fea giald (0)			fäar giäld
sitær			sitær (0)			sitia
forbuþi			forbuþi (0)			forbuþ
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
þa			þiggia (0.5)			þa
biskupær			biskupær (0)			biskoper
sætia			sætia (0)			sätia
sitær			sitær (0)			sitia
banne			banne (0)			ban
ok			uk (1)			ok
iamlanga			iamlanga (0)			iämlange
þa			þiggia (0.5)			þa
ökis			ökis (0)			öka
sak			saker (1)			sak
þa			þiggia (0.5)			þa
ær			ær (0)			vara
h			h (0)			han
at			ägha (0.5)			at
niu			niu (0)			nio
markum			markum (0)			mark
sakær			sakær (0)			saker
annur			annur (0)			annar
hænda			hænda (0)			hända
þa			þiggia (0.5)			þa
ökis			ökis (0)			öka
ok			uk (1)			ok
egh			äg (0.666667)			eigh
feia giald			feia giald (0)			fäar giäld
uill			uill (0)			vilia
egh			äg (0.666667)			eigh
bötas			bötas (0)			böta
firi			firi (0)			for
þa			þiggia (0.5)			þa
biskupær			biskupær (0)			biskoper
kununge			kununge (0)			konunger
til sæghia			til sæghia (0)			tilsighia
kunungær			kunungær (0)			konunger
ok			uk (1)			ok
kirkiu garþ			kirkiu garþ (0)			kirkio garþer
læggia			læggia (0)			läggia
þa			þiggia (0.5)			þa
rætti			rætti (0)			rätter
arwa			arwa (0)			arve
ok			uk (1)			ok
kunungær			kunungær (0)			konunger
lösöra			lösöra (0)			lösöre
myrþir			myrþir (0)			myrþa
heþit			heþit (0)			heþin
þa			þiggia (0.5)			þa
ær			ær (0)			vara
hon			han (1)			hon
at			ägha (0.5)			at
markum			markum (0)			mark
kununna			kununna (0)			kona
mals man			mals man (0)			mals maþer
hænna			hænna (0)			hon
panningum			panningum (0)			pänninger
ok			uk (1)			ok
siafs			siafs (0)			siälver
pænninga			pænninga (0)			pänninger
egh			äg (0.666667)			eigh
uinnas			uinnas (0)			vinna
hænna			hænna (0)			hon
at			ägha (0.5)			at
æn			æn (0)			än
þæn			þæn (0)			þän
kærir			kærir (0)			kära
æptir			æptir (0)			äptir
uar			uar (0)			vara
barsins			barsins (0)			barn
þa			þiggia (0.5)			þa
konan			konan (0)			kona
örtughur			örtughur (0)			örtogh
ok			uk (1)			ok
þrættan			þrættan (0)			þrättan
markær			markær (0)			mark
kununginum			kununginum (0)			konunger
örtughær			örtughær (0)			örtogh
ok			uk (1)			ok
þrættam			þrættam (0)			þrättan
markær			markær (0)			mark
ok			uk (1)			ok
biskupinum			biskupinum (0)			biskoper
örtuhær			örtuhær (0)			örtogh
ok			uk (1)			ok
þrættan			þrættan (0)			þrättan
markær			markær (0)			mark
þa			þiggia (0.5)			þa
æn			æn (0)			än
egh			äg (0.666667)			eigh
æfte			æfte (0)			äptir
kære			kære (0)			kära
uvar			uvar (0)			vara
barnsins			barnsins (0)			barn
þa			þiggia (0.5)			þa
kunungin			kunungin (0)			konunger
kununne			kununne (0)			kona
markær			markær (0)			mark
ok			uk (1)			ok
biskupær			biskupær (0)			biskoper
kænnis			kænnis (0)			känna
kunu			kunu (0)			kona
heþit			heþit (0)			heþin
þær			þær (0)			þär
egh			äg (0.666667)			eigh
æftir			æftir (0)			äptir
þæt			þæt (0)			þän
hæræzs næmd			hæræzs næmd (0)			härads nämd
æn			æn (0)			än
hana			han (1)			hon
uænis			uænis (0)			väna
sak			saker (1)			sak
ok			uk (1)			ok
warþær			warþær (0)			varþa
egh			äg (0.666667)			eigh
uiþær			uiþær (0)			viþ
þa			þiggia (0.5)			þa
hæræz næmdin			hæræz næmdin (0)			härads nämd
annattiggia			annattiggia (0)			annattväggia
uæria			uæria (0)			väria
hana			han (1)			hon
ælla			ælla (0)			älla
fælla			fælla (0)			fälla
egh			äg (0.666667)			eigh
biskups			biskups (0)			biskoper
stæmna			stæmna (0)			stämna
firi			firi (0)			for
ængte			ængte (0)			ängin
huma mal			huma mal (0)			huna mal
firi			firi (0)			for
yppinbar			yppinbar (0)			opinbar
mal			mala (1)			mal
ok			uk (1)			ok
giwær			giwær (0)			giva
bondans			bondans (0)			bonde
kunu			kunu (0)			kona
hor sak			hor sak (0)			horsak
mæþ			mæþ (0)			mäþ
stæmdu			stæmdu (0)			stämna
þinge			þinge (0)			þing
sua			sua (0)			sva
at			ägha (0.5)			at
bondin			bondin (0)			bonde
egh			äg (0.666667)			eigh
hænne			hænne (0)			hon
förra			förra (0)			fyrre
sak			saker (1)			sak
þa			þiggia (0.5)			þa
soknarin			soknarin (0)			soknare
markær			markær (0)			mark
egh			äg (0.666667)			eigh
biskups			biskups (0)			biskoper
bondans			bondans (0)			bonde
kunu			kunu (0)			kona
sak			saker (1)			sak
giua			giua (0)			giva
firi			firi (0)			for
bondin			bondin (0)			bonde
giui			giui (0)			giva
hænni			hænni (0)			hon
sialwær			sialwær (0)			siälver
sak			saker (1)			sak
kirkiu			kirkiu (0)			kirkia
ælla			ælla (0)			älla
annare			annare (0)			annar
samkuæmd			samkuæmd (0)			samqvämd
þa			þiggia (0.5)			þa
æn			æn (0)			än
giwær			giwær (0)			giva
hænne			hænne (0)			hon
sak			saker (1)			sak
firi			firi (0)			for
samfundum			samfundum (0)			*samfund
þa			þiggia (0.5)			þa
antuiggia			antuiggia (0)			annattväggia
mæþ			mæþ (0)			mäþ
eþe			eþe (0)			eþer
ælla			ælla (0)			älla
biskupe			biskupe (0)			biskoper
markær			markær (0)			mark
æn			æn (0)			än
takær			takær (0)			taka
annan			annan (0)			annar
mæþ			mæþ (0)			mäþ
hænne			hænne (0)			hon
hor siangh			hor siangh (0)			horsiäng
ok			uk (1)			ok
windær			windær (0)			vinna
horsakinna			horsakinna (0)			horsak
mæþ			mæþ (0)			mäþ
witnum			witnum (0)			vitne
ok			uk (1)			ok
lagha domum			lagha domum (0)			lagha domber
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
biskupe			biskupe (0)			biskoper
firi			firi (0)			for
sak			saker (1)			sak
hænna			hænna (0)			hon
firi			firi (0)			for
at			ägha (0.5)			at
hon			han (1)			hon
hauær			hauær (0)			hava
allu			allu (0)			alder
hon			han (1)			hon
bo			boa (1)			bo
ok			uk (1)			ok
a			af (0.666667)			ägha
egh			äg (0.666667)			eigh
suara			suara (0)			sväria
firi			firi (0)			for
hana			han (1)			hon
taki			taki (0)			taka
hana			han (1)			hon
atær			atær (0)			ater
sin			sin (0.6)			sik
ok			uk (1)			ok
sua			sua (0)			sva
æn			æn (0)			än
hon			han (1)			hon
löpær			löpær (0)			löpa
bort			borþ (1)			bort
mæþ			mæþ (0)			mäþ
andrum			andrum (0)			annar
bondanum			bondanum (0)			bonde
ok			uk (1)			ok
gær			gær (0)			göra
þa			þiggia (0.5)			þa
egh			äg (0.666667)			eigh
firi			firi (0)			for
hana			han (1)			hon
biskups sak			biskups sak (0)			biskops sak
at			ägha (0.5)			at
hon			han (1)			hon
hauær			hauær (0)			hava
allu			allu (0)			alder
forwærkat			forwærkat (0)			forvärka
hon			han (1)			hon
bo			boa (1)			bo
bondans			bondans (0)			bonde
æn			æn (0)			än
hon			han (1)			hon
löpær			löpær (0)			löpa bort
bort			borþ (1)			bort
firi			firi (0)			for
owistan			owistan (0)			ovistan
ok			uk (1)			ok
egh			äg (0.666667)			eigh
firi			firi (0)			for
osiþa			osiþa (0)			osiþer
þa			þiggia (0.5)			þa
bondin			bondin (0)			bonde
ok			uk (1)			ok
swara			swara (0)			svara
firi			firi (0)			for
hana			han (1)			hon
alt			alt (0)			alder
þær til			þær til (0)			þär til
biskupær			biskupær (0)			biskoper
hawær			hawær (0)			hava
skilt			skilt (0)			skilia+at
at			ägha (0.5)			at
æn			æn (0)			än
bondin			bondin (0)			bonde
giwær			giwær (0)			giva
andrum			andrum (0)			annar
sak			saker (1)			sak
mæþ			mæþ (0)			mäþ
stæmdu			stæmdu (0)			stämna
þingi			þingi (0)			þing
firi			firi (0)			for
kunu			kunu (0)			kona
sighær			sighær (0)			sighia
giort			giort (0)			göra
sik			sighia (0.5)			sik
þa			þiggia (0.5)			þa
a			af (0.666667)			ägha
þæn			þæn (0)			þän
bondim			bondim (0)			bonde
æftir kære			æftir kære (0)			äptir
egh			äg (0.666667)			eigh
biskupe			biskupe (0)			biskoper
huat			huat (0)			hvat
hældær			hældær (0)			hälder
h			h (0)			han
ærþe			ærþe (0)			kära
falzs			falzs (0)			fallas
ælla			ælla (0)			älla
wærs			wærs (0)			värias
firi			firi (0)			for
horsiangina			horsiangina (0)			horsiäng
egh			äg (0.666667)			eigh
biskups			biskups (0)			biskoper
bondans			bondans (0)			bonde
dottur			dottur (0)			dottir
ælla			ælla (0)			älla
systur			systur (0)			systir
ælla			ælla (0)			älla
frænkunu			frænkunu (0)			frändkona
hor sak			hor sak (0)			horsak
giua			giua (0)			giva
ælla			ælla (0)			älla
firi			firi (0)			for
ætsku spiæll			ætsku spiæll (0)			ätsku spiäl
röpa			röpa (0)			ropa
firi			firi (0)			for
inntakin			inntakin (0)			intaka
se			sea (0.5)			vara
ællas			ællas (0)			ällas
bær			bær (0)			bära
witni			witni (0)			vitne
giwær			giwær (0)			giva
hænne			hænne (0)			hon
sak			saker (1)			sak
þa			þiggia (0.5)			þa
þrea			þrea (0)			þrir
markær			markær (0)			mark
firi			firi (0)			for
stæmnir			stæmnir (0)			stämna
taki			taki (0)			taka
makr			makr (0)			mark
malsæghandin			malsæghandin (0)			malsäghande
mark			margher (0.5)			mark
kunungur			kunungur (0)			konunger
mark			margher (0.5)			mark
alli			alli (0)			alder
mæn			mæn (0)			maþer
þa			þiggia (0.5)			þa
æn			æn (0)			än
annat			annat (0)			annar
þerra			þerra (0)			þän
ær			ær (0)			vara
mæþ			mæþ (0)			mäþ
sannu			sannu (0)			sander
þa			þiggia (0.5)			þa
biskupe			biskupe (0)			biskoper
þrea			þrea (0)			þrir
markær			markær (0)			mark
