TOKEN		OUTPUT			CORRECT
han			han (1)			han
sin			sin (0.6)			sin
ganga			ganga (0)			ganga
sum			sum (0)			sum
i			i (0)			i
til			til (0)			til
urþinga			urþinga (0)			urþinga
sin			sin (0.6)			sin
saklös			saklös (0)			saklös
nu			nu (0)			nu
um			um (0)			um
til			til (0)			til
koma			koma (0)			koma
biuþa			biuþa (0)			biuþa
bonde			bonde (0)			bonde
bonde			bonde (0)			bonde
bonde			bonde (0)			bonde
bonde			bonde (0)			bonde
sak			saker (1)			saker
hanum			han (1)			han
lönda skript			lönda skript (0)			lönda skript
han			han (1)			han
utan			utan (0)			utan
skal			skula (1)			skula
han			han (1)			han
skript			skript (0)			skript
taka			taka (0)			taka
böta			böta (0)			böta
nu			nu (0)			nu
lönda skript			lönda skript (0)			lönda skript
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
bonde			bonde (0)			bonde
siax			siäx (1)			siäx
örum			öre (1)			öre
nu			nu (0)			nu
se			sea (0.5)			sea
man			maþer (1)			maþer
skal			skula (1)			skula
han			han (1)			han
til			til (0)			til
um			um (0)			um
i			i (0)			i
standa			standa (0)			standa
um			um (0)			um
um			um (0)			um
þriþia			þriþi (1)			þriþi
i			i (0)			i
sokn			sokn (0)			sokn
wrþit			varþa (1)			varþa
nu			nu (0)			nu
iak			iak (0)			iak
han			han (1)			han
mik			iak (1)			iak
guþ			guþ (0)			guþ
nu			nu (0)			nu
han			han (1)			han
skal			skula (1)			skula
til			til (0)			til
hans			han (1)			han
ganga			ganga (0)			ganga
biþia			biþia (0)			biþia
han			han (1)			han
iak			iak (0)			iak
nu			nu (0)			nu
skal			skula (1)			skula
taka			taka (0)			taka
þöm			þän (1)			þän
sum			sum (0)			sum
göma			göma (0)			göma
ganga			ganga (0)			ganga
til			til (0)			til
hans			han (1)			han
biþia			biþia (0)			biþia
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
þöm			þän (1)			þän
sum			sum (0)			sum
raþa			raþa (0)			raþa
i			i (0)			i
han			han (1)			han
han			han (1)			han
gangit			ganga (1)			ganga
wari			vara (1)			vara
saklös			saklös (0)			saklös
will			vilia (1)			vilia
skal			skula (1)			skula
han			han (1)			han
skript			skript (0)			skript
taka			taka (0)			taka
böta			böta (0)			böta
nu			nu (0)			nu
han			han (1)			han
skal			skula (1)			skula
hanum			han (1)			han
iui			ivir (1)			ivir
ma			magha (1)			magha
han			han (1)			han
fram			fram (0)			fram
nu			nu (0)			nu
will			vilia (1)			vilia
han			han (1)			han
þöm			þän (1)			þän
skal			skula (1)			skula
taka			taka (0)			taka
skal			skula (1)			skula
han			han (1)			han
fasta			fasta (0)			fasta
böta			böta (0)			böta
nu			nu (0)			nu
in			in (0)			in
siþan			siþan (0)			siþan
nu			nu (0)			nu
in			in (0)			in
i			i (0)			i
up			up (0)			up
nu			nu (0)			nu
in			in (0)			in
siþan			siþan (0)			siþan
nu			nu (0)			nu
fran			fran (0)			fran
þy			þän (1)			þän
huar			hvar (1)			hvar
sum			sum (0)			sum
i			i (0)			i
han			han (1)			han
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
nu			nu (0)			nu
i			i (0)			i
i			i (0)			i
um			um (0)			um
i			i (0)			i
huar			hvar (1)			hvar
sum			sum (0)			sum
slar			sla (1)			sla
þit			þit (0)			þit
han			han (1)			han
sina			sin (0.5)			sin
fiuratighi			fiuratighi (0)			fiuratighi
skal			skula (1)			skula
tiughu			tiughu (0)			tiughu
tiughu			tiughu (0)			tiughu
eghn			eghn (0)			eghn
til			til (0)			til
ma			magha (1)			magha
han			han (1)			han
i			i (0)			i
nu			nu (0)			nu
dela			dela (1)			dela
þön			þän (1)			þän
innan			innan (0)			innan
han			han (1)			han
han			han (1)			han
gaf			giva (1)			giva
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
ma			magha (1)			magha
han			han (1)			han
sum			sum (0)			sum
dylia			dylia (0)			dylia
han			han (1)			han
aldrigh			aldrigh (0)			aldrigh
gaf			giva (1)			giva
wita			vita (1)			vita
gaf			giva (1)			giva
han			han (1)			han
nu			nu (0)			nu
fiughurtan			fiughurtan (0)			fiughurtan
manna			maþer (1)			maþer
nu			nu (0)			nu
i			i (0)			i
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
huart			hvar (1)			hvar
sum			sum (0)			sum
lata			lata (0)			lata
skira			skira (0)			skira
nu			nu (0)			nu
hor			hor (0)			hor
i			i (0)			i
af			af (0)			af
sum			sum (0)			sum
han			han (1)			han
skal			skula (1)			skula
lata			lata (0)			lata
nu			nu (0)			nu
man			maþer (1)			maþer
laghlika			laghlika (0)			laghlika
wnnin			vinna (1)			vinna
skal			skula (1)			skula
hanum			han (1)			han
will			vilia (1)			vilia
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
i			i (0)			i
forbuþ			forbuþ (0)			forbuþ
skrift			skript (1)			skript
nu			nu (0)			nu
han			han (1)			han
i			i (0)			i
um			um (0)			um
nat			nat (0)			nat
ma			magha (1)			magha
han			han (1)			han
i			i (0)			i
ban			ban (0)			ban
nu			nu (0)			nu
han			han (1)			han
i			i (0)			i
nat			nat (0)			nat
hans			han (1)			han
nu			nu (0)			nu
all			alder (1)			alder
misfall			misfal (1)			misfal
þön			þän (1)			þän
sum			sum (0)			sum
man			maþer (1)			maþer
kunnu			kunna (1)			kunna
skript			skript (0)			skript
hans			han (1)			han
nu			nu (0)			nu
han			han (1)			han
skal			skula (1)			skula
ma			magha (1)			magha
han			han (1)			han
halshugga			halshugga (0)			halshugga
lata			lata (0)			lata
utan			utan (0)			utan
skulu			skula (1)			skula
hans			han (1)			han
eghn			eghn (0)			eghn
hans			han (1)			han
taka			taka (0)			taka
nu			nu (0)			nu
moþir			moþir (0)			moþir
barn			barn (0)			barn
sit			sin (0.333333)			sin
sak			saker (1)			saker
fiuratighi			fiuratighi (0)			fiuratighi
þem			þän (1)			þän
skal			skula (1)			skula
luka			lokka (1)			lokka
af			af (0)			af
sins			sin (1)			sin
siþan			siþan (0)			siþan
nu			nu (0)			nu
sum			sum (0)			sum
faþir			faþir (0)			faþir
skal			skula (1)			skula
böta			böta (0)			böta
hanum			han (1)			han
atta			atta (0)			atta
atta			atta (0)			atta
atta			atta (0)			atta
han			han (1)			han
sum			sum (0)			sum
faþir			faþir (0)			faþir
skal			skula (1)			skula
haua			hava (1)			hava
af			af (0)			af
tiughu			tiughu (0)			tiughu
tiughu			tiughu (0)			tiughu
morþ			morþ (0)			morþ
skal			skula (1)			skula
soknare			soknare (0)			soknare
sökia			sökia (0)			sökia
skal			skula (1)			skula
slita			slita (0)			slita
nu			nu (0)			nu
þön			þän (1)			þän
takin			taka (1)			taka
skal			skula (1)			skula
nu			nu (0)			nu
ma			magha (1)			magha
soknare			soknare (0)			soknare
þing			þing (0)			þing
utan			utan (0)			utan
laghwnnin			laghvinna (1)			laghvinna
soknare			soknare (0)			soknare
gaf			giva (1)			giva
böte			böta (1)			böta
fiuratighi			fiuratighi (0)			fiuratighi
nu			nu (0)			nu
ma			magha (1)			magha
soknare			soknare (0)			soknare
hor			hor (0)			hor
utan			utan (0)			utan
i			i (0)			i
i			i (0)			i
han			han (1)			han
skal			skula (1)			skula
han			han (1)			han
dylia			dylia (0)			dylia
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
þre			þrir (1)			þrir
nu			nu (0)			nu
han			han (1)			han
man			maþer (1)			maþer
inne			inne (0)			inne
i			i (0)			i
þöm			þän (1)			þän
til			til (0)			til
lagha			lagh (1)			lagh
skal			skula (1)			skula
böta			böta (0)			böta
þy			þän (1)			þän
þy			þän (1)			þän
sum			sum (0)			sum
atte			ägha (1)			ägha
i			i (0)			i
hans			han (1)			han
han			han (1)			han
utan			utan (0)			utan
han			han (1)			han
siþan			siþan (0)			siþan
til			til (0)			til
manne			maþer (1)			maþer
fran			fran (0)			fran
hor			hor (0)			hor
skal			skula (1)			skula
han			han (1)			han
böta			böta (0)			böta
þy			þän (1)			þän
þy			þän (1)			þän
sum			sum (0)			sum
atte			ägha (1)			ägha
i			i (0)			i
nu			nu (0)			nu
skuld			skuld (0)			skuld
skuld			skuld (0)			skuld
sökia			sökia (0)			sökia
þem			þän (1)			þän
nu			nu (0)			nu
manne			maþer (1)			maþer
sina			sin (0.5)			sin
han			han (1)			han
haua			hava (1)			hava
hor			hor (0)			hor
undi			undir (1)			undir
sum			sum (0)			sum
böta			böta (0)			böta
hin			hin (0)			hin
som			sum (1)			sum
til			til (0)			til
nu			nu (0)			nu
ma			magha (1)			magha
soknare			soknare (0)			soknare
hans			han (1)			han
hans			han (1)			han
utan			utan (0)			utan
han			han (1)			han
barn			barn (0)			barn
soknare			soknare (0)			soknare
för			fyr (1)			fyr
böte			böta (1)			böta
hwart			hvar (1)			hvar
þing			þing (0)			þing
sum			sum (0)			sum
han			han (1)			han
böte			böta (1)			böta
nu			nu (0)			nu
binda			binda (0)			binda
wita			vita (1)			vita
luflikt			lofliker (1)			lofliker
sum			sum (0)			sum
oloflikt			olofliker (1)			olofliker
nu			nu (0)			nu
han			han (1)			han
skil			skilia (0.5)			skilia
sum			sum (0)			sum
þy			þän (1)			þän
böte			böta (1)			böta
þön			þän (1)			þän
baþin			baþir (1)			baþir
böte			böta (1)			böta
huart			hvar (1)			hvar
nu			nu (0)			nu
man			maþer (1)			maþer
sla			sla (1)			sla
man			maþer (1)			maþer
böte			böta (1)			böta
banz mal			banz mal (0)			banz mal
skal			skula (1)			skula
manne			maþer (1)			maþer
man			maþer (1)			maþer
slaghin			sla (1)			sla
um			um (0)			um
þriþia			þriþi (1)			þriþi
bonde			bonde (0)			bonde
skal			skula (1)			skula
hans			han (1)			han
up			up (0)			up
um			um (0)			um
all			alder (1)			alder
þön			þän (1)			þän
sum			sum (0)			sum
till			til (1)			til
skript			skript (0)			skript
höra			höra (0)			höra
hanum			han (1)			han
til			til (0)			til
hans			han (1)			han
han			han (1)			han
þön			þän (1)			þän
sum			sum (0)			sum
nu			nu (0)			nu
böte			böta (1)			böta
sum			sum (0)			sum
nu			nu (0)			nu
bonde			bonde (0)			bonde
baþir			baþir (0)			baþir
baþe			baþir (1)			baþir
baþe			baþir (1)			baþir
sinum			sin (0.5)			sin
böte			böta (1)			böta
til			til (0)			til
af			af (0)			af
nu			nu (0)			nu
bonde			bonde (0)			bonde
böte			böta (1)			böta
böte			böta (1)			böta
til			til (0)			til
af			af (0)			af
nu			nu (0)			nu
bonda			bonde (1)			bonde
han			han (1)			han
han			han (1)			han
skena			skena (0)			skena
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
nu			nu (0)			nu
man			maþer (1)			maþer
sinne			sin (0.6)			sin
hwar			hvar (1)			hvar
sinum			sin (0.5)			sin
huart			hvar (1)			hvar
minna			minne (1)			minne
til			til (0)			til
til			til (0)			til
lius			lius (0)			lius
i			i (0)			i
barn			barn (0)			barn
sit			sin (0.333333)			sin
bonda			bonde (1)			bonde
sin			sin (0.6)			sin
til			til (0)			til
til			til (0)			til
lius			lius (0)			lius
i			i (0)			i
huarre			hvar (1)			hvar
i			i (0)			i
leþa			leþa (0)			leþa
will			vilia (1)			vilia
i			i (0)			i
leþa			leþa (0)			leþa
böte			böta (1)			böta
bonda			bonde (1)			bonde
i			i (0)			i
þöm			þän (1)			þän
fiughurtan			fiughurtan (0)			fiughurtan
tiughu			tiughu (0)			tiughu
man			maþer (1)			maþer
han			han (1)			han
hans			han (1)			han
sum			sum (0)			sum
i			i (0)			i
hans			han (1)			han
hans			han (1)			han
i			i (0)			i
þaghar			þaghar (0)			þaghar
han			han (1)			han
i			i (0)			i
slar			sla (1)			sla
slar			sla (1)			sla
gör			göra (1)			göra
þe			þän (1)			þän
sum			sum (0)			sum
i			i (0)			i
farunöte			farunöte (0)			farunöte
þe			þän (1)			þän
man			maþer (1)			maþer
sinum			sin (0.5)			sin
hin			hin (0)			hin
sum			sum (0)			sum
kasta			kasta (0)			kasta
hanum			han (1)			han
han			han (1)			han
far			fa (0.333333)			fa
af			af (0)			af
siþan			siþan (0)			siþan
han			han (1)			han
sum			sum (0)			sum
han			han (1)			han
til			til (0)			til
hans			han (1)			han
han			han (1)			han
þe			þän (1)			þän
sum			sum (0)			sum
hanum			han (1)			han
nu			nu (0)			nu
hin			hin (0)			hin
sum			sum (0)			sum
han			han (1)			han
hans			han (1)			han
sum			sum (0)			sum
han			han (1)			han
til			til (0)			til
i			i (0)			i
hans			han (1)			han
þe			þän (1)			þän
nu			nu (0)			nu
riþa			riþa (0)			riþa
manne			maþer (1)			maþer
þe			þän (1)			þän
gita			gita (0)			gita
þe			þän (1)			þän
sla			sla (1)			sla
til			til (0)			til
hugga			hugga (0)			hugga
bryta			bryta (0)			bryta
hus			hus (0)			hus
skena			skena (0)			skena
manne			maþer (1)			maþer
skiuta			skiuta (0)			skiuta
innan			innan (0)			innan
böte			böta (1)			böta
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
han			han (1)			han
nu			nu (0)			nu
kan			kunna (1)			kunna
man			maþer (1)			maþer
sum			sum (0)			sum
hemsokn			hemsokn (0)			hemsokn
i			i (0)			i
þy			þän (1)			þän
sum			sum (0)			sum
han			han (1)			han
hemsokn			hemsokn (0)			hemsokn
gör			göra (1)			göra
far			fa (0.333333)			fa
sum			sum (0)			sum
han			han (1)			han
i			i (0)			i
nu			nu (0)			nu
kunnu			kunna (1)			kunna
wilia			vilia (1)			vilia
flyia			flya (1)			flya
sum			sum (0)			sum
þe			þän (1)			þän
i			i (0)			i
nu			nu (0)			nu
þe			þän (1)			þän
i			i (0)			i
falla			falla (0)			falla
innan			innan (0)			innan
utan			utan (0)			utan
þöm			þän (1)			þän
sum			sum (0)			sum
hemsokn			hemsokn (0)			hemsokn
falla			falla (0)			falla
utan			utan (0)			utan
innan			innan (0)			innan
þy at			þy at (0)			þy at
fioll			falla (1)			falla
sum			sum (0)			sum
nu			nu (0)			nu
kan			kunna (1)			kunna
löpa			löpa (0)			löpa
ur			ur (0)			ur
sinum			sin (0.5)			sin
sum			sum (0)			sum
riþu			riþa (1)			riþa
slar			sla (1)			sla
siþan			siþan (0)			siþan
ur			ur (0)			ur
hans			han (1)			han
böte			böta (1)			böta
far			fa (0.333333)			fa
han			han (1)			han
siþan			siþan (0)			siþan
han			han (1)			han
ur			ur (0)			ur
sinum			sin (0.5)			sin
sum			sum (0)			sum
nu			nu (0)			nu
sum			sum (0)			sum
hemsokn			hemsokn (0)			hemsokn
sum			sum (0)			sum
sum			sum (0)			sum
han			han (1)			han
fik			fa (1)			fa
huarte			hvarte (1)			hvarte
han			han (1)			han
hans			han (1)			han
nu			nu (0)			nu
i			i (0)			i
utan			utan (0)			utan
han			han (1)			han
ur			ur (0)			ur
siþan			siþan (0)			siþan
han			han (1)			han
hialp			hiälp (0.5)			hiälp
i			i (0)			i
slar			sla (1)			sla
han			han (1)			han
sum			sum (0)			sum
hanum			han (1)			han
nu			nu (0)			nu
i			i (0)			i
biþia			biþia (0)			biþia
sum			sum (0)			sum
sum			sum (0)			sum
fik			fa (1)			fa
nu			nu (0)			nu
annar			annar (0)			annar
sum			sum (0)			sum
fik			fa (1)			fa
skal			skula (1)			skula
han			han (1)			han
biþia			biþia (0)			biþia
hanum			han (1)			han
sum			sum (0)			sum
han			han (1)			han
hanum			han (1)			han
han			han (1)			han
siþan			siþan (0)			siþan
þing			þing (0)			þing
han			han (1)			han
sum			sum (0)			sum
i			i (0)			i
skils			skilia (1)			skilia
þo			þo (0)			þo
friþlös			friþlös (0)			friþlös
hans			han (1)			han
han			han (1)			han
þöm			þän (1)			þän
siþan			siþan (0)			siþan
han			han (1)			han
hans			han (1)			han
saklös			saklös (0)			saklös
þy at			þy at (0)			þy at
han			han (1)			han
nu			nu (0)			nu
landboe			landboe (0)			landboe
sum			sum (0)			sum
hemsokn			hemsokn (0)			hemsokn
till			til (1)			til
leght			leghia (1)			leghia
hus			hus (0)			hus
far			fa (0.333333)			fa
han			han (1)			han
hans			han (1)			han
han			han (1)			han
boskipte			boskipte (0)			boskipte
i			i (0)			i
friþi			friþer (1)			friþer
biþia			biþia (0)			biþia
nu			nu (0)			nu
annar			annar (0)			annar
man			maþer (1)			maþer
sum			sum (0)			sum
han			han (1)			han
sum			sum (0)			sum
fik			fa (1)			fa
i			i (0)			i
sum			sum (0)			sum
utan			utan (0)			utan
han			han (1)			han
þit			þit (0)			þit
i			i (0)			i
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
skal			skula (1)			skula
kom			koma (1)			koma
nu			nu (0)			nu
ma			magha (1)			magha
man			maþer (1)			maþer
utan			utan (0)			utan
han			han (1)			han
utan			utan (0)			utan
innan			innan (0)			innan
sum			sum (0)			sum
þe			þän (1)			þän
mattin			magha (1)			magha
þe			þän (1)			þän
skal			skula (1)			skula
han			han (1)			han
siþan			siþan (0)			siþan
han			han (1)			han
nu			nu (0)			nu
af			af (0)			af
mughu			magha (1)			magha
nu			nu (0)			nu
ma			magha (1)			magha
man			maþer (1)			maþer
annar			annar (0)			annar
han			han (1)			han
han			han (1)			han
skal			skula (1)			skula
sum			sum (0)			sum
han			han (1)			han
annar			annar (0)			annar
han			han (1)			han
skulu			skula (1)			skula
annar			annar (0)			annar
kom			koma (1)			koma
han			han (1)			han
han			han (1)			han
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
hans			han (1)			han
sum			sum (0)			sum
ref			riva (1)			riva
akallan			akallan (0)			akallan
skal			skula (1)			skula
sant			sander (1)			sander
um			um (0)			um
nu			nu (0)			nu
han			han (1)			han
sin			sin (0.6)			sin
framt			främia (1)			främia
akallan			akallan (0)			akallan
han			han (1)			han
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
han			han (1)			han
til			til (0)			til
sla			sla (1)			sla
han			han (1)			han
nu			nu (0)			nu
manna			maþer (1)			maþer
af			af (0)			af
awnd			afund (1)			afund
far			fa (0.333333)			fa
annar			annar (0)			annar
drap			drap (0)			drap
af			af (0)			af
nu			nu (0)			nu
man			maþer (1)			maþer
han			han (1)			han
uili			vilia (1)			vilia
nu			nu (0)			nu
man			maþer (1)			maþer
innan			innan (0)			innan
tolf			tolf (0)			tolf
manna			maþer (1)			maþer
böte			böta (1)			böta
þre			þrir (1)			þrir
nu			nu (0)			nu
man			maþer (1)			maþer
slar			sla (1)			sla
i			i (0)			i
utan			utan (0)			utan
þy			þän (1)			þän
aghu			ägha (1)			ägha
haua			hava (1)			hava
nu			nu (0)			nu
man			maþer (1)			maþer
til			til (0)			til
af			af (0)			af
huar			hvar (1)			hvar
sum			sum (0)			sum
til			til (0)			til
hans			han (1)			han
han			han (1)			han
til			til (0)			til
han			han (1)			han
nu			nu (0)			nu
han			han (1)			han
til			til (0)			til
han			han (1)			han
til			til (0)			til
sitia			sitia (0)			sitia
hans			han (1)			han
ouini			ovin (1)			ovin
hanum			han (1)			han
haua			hava (1)			hava
nu			nu (0)			nu
man			maþer (1)			maþer
af			af (0)			af
sum			sum (0)			sum
skal			skula (1)			skula
ganga			ganga (0)			ganga
af			af (0)			af
af			af (0)			af
han			han (1)			han
sum			sum (0)			sum
þo			þo (0)			þo
akoma			akoma (0)			akoma
þy			þän (1)			þän
sökia			sökia (0)			sökia
man			maþer (1)			maþer
manne			maþer (1)			maþer
þing			þing (0)			þing
slaghin			sla (1)			sla
af			af (0)			af
han			han (1)			han
til			til (0)			til
sinne			sin (0.6)			sin
slaghin			sla (1)			sla
af			af (0)			af
han			han (1)			han
til			til (0)			til
han			han (1)			han
sin			sin (0.6)			sin
sea			sea (0)			sea
flere			flere (0)			flere
huar			hvar (1)			hvar
sum			sum (0)			sum
slar			sla (1)			sla
af			af (0)			af
þe			þän (1)			þän
haua			hava (1)			hava
nu			nu (0)			nu
skal			skula (1)			skula
han			han (1)			han
hin			hin (0)			hin
han			han (1)			han
af			af (0)			af
kom			koma (1)			koma
annar			annar (0)			annar
af			af (0)			af
nu			nu (0)			nu
han			han (1)			han
heman			heman (0)			heman
fran			fran (0)			fran
til			til (0)			til
til			til (0)			til
